"region.l","p20","np20","npl","age","female","head.female","urban","man.bmi","woman.bmi","child.height.age","no.caste","other.caste","obc","scheduled.cast","scheduled.tribe","hindu","muslim","christian","sikh","buddhist","jain","jewish","zoroastrian","athiest","donyi.polo","other.religion","higher.educ","secondary.educ","primary.educ","no.educ","no.cert.no.reg","certificate","registered","unknown.certificate","region","pop.2001","males.2001","females.2001"
"jammu and kashmir",0.0916357529864654,0.0277886351661095,0.0941144089211199,26.6445421776029,0.488792301189506,0.0566707932632795,0.273674914988627,20.388590233553,21.4117687240662,-1.17037148714211,0.447157620248908,0.24030287766411,0.102443472371433,0.118525829140368,0.0915702005751806,0.326991256413309,0.652705482285815,0.00222608747294324,0.0172356024275885,0.000841571400343955,0,0,0,0,0,0,0.0648924289765538,0.0419087275482123,0.366159918325931,0.527038925149302,0.525585119965277,0.131483636372908,0.234336422764502,0.108594820897313,"Jammu and Kashmir",10143700,5360926,4782774
"jharkhand",0.613211393275999,0.493760898958436,0.616337952909995,24.3048980885974,0.506944575896747,0.0919758568767041,0.25215504030002,19.7162202611187,19.4949156555583,-1.75250615515244,0.000100983195955154,0.163656159220807,0.470114421681052,0.108808529539089,0.257319906363097,0.721474172926811,0.153319137693144,0.0326992017954368,0.00429286959732344,0.000505043482038051,0,0,0,0.00286248164677337,0,0.0848470928584736,0.0399015051005715,0.027816754431918,0.262164794004737,0.670116946462774,0.890601689793673,0.0789366769791142,0.0165549780692422,0.013906655157971,"Jharkhard",26945829,13885037,13060792
"karnataka",0.265378280718055,0.106297739291442,0.269316760316389,27.6479029417583,0.507979865810695,0.122578813623437,0.395675920830606,20.5002382488433,20.7193238372684,-1.5456871761717,0.00488346662312696,0.141712320928594,0.613545418249441,0.168832910910149,0.071025883288689,0.848597693167169,0.11503746982417,0.028238088037854,0,0.000328488261632093,0.00469571109307517,0,0.000198318954609539,8.30535599294258e-05,0,0.00282117710156086,0.0675090399669265,0.0429242796736466,0.3680884199825,0.521478260376927,0.257205222611172,0.437373038912329,0.162109160063739,0.14331257841276,"Karnataka",52850562,26898918,25951644
"kerala",0.0329817743127365,0.0102961830897414,0.0340704359835081,31.5213193224427,0.530614045792326,0.23921759069107,0.338486369983212,21.7061605805466,22.5782952434586,-0.982172571365544,0.121083585279805,0.434907061976496,0.317281211121587,0.108385408219901,0.0183427334022104,0.562976906278966,0.284678591200473,0.150161966200576,0.000362327520855504,0,0,0,0,0.000726797840423982,0,0.00109341095870544,0.100069238072468,0.0516691168642644,0.511039640956835,0.337222004106433,0.077724059094867,0.646837369241903,0.247210722376835,0.0282278492863951,"Kerala",31902024,15499745,16402279
"madhya pradesh",0.547684756714192,0.365350238146588,0.550310452233325,25.0634735174236,0.492607085513089,0.0475793386267399,0.266367240564917,19.5111650859214,19.7456739964292,-1.78481488456518,1.11993388376287e-05,0.20010559587141,0.41112787307281,0.173879667980352,0.21487566373659,0.902955337195819,0.0718165155245196,0.00183527026019232,0.00359614914632134,0.00606114611377557,0.013735581759372,0,0,0,0,0,0.0503838348239869,0.0255312035689091,0.295229851379066,0.628855110228037,0.654472788834233,0.105252524993337,0.192953699583604,0.047320986588826,"Madhya Pradesh",60348023,31443652,28904371
"maharashtra",0.213015541220564,0.109744341005831,0.215803088501534,28.1436165556045,0.492757866305838,0.090341405075592,0.482878588743559,20.4854561939603,20.5551338426441,-1.62851737421812,0.00451161369309195,0.470353312322055,0.259265448306979,0.156719842026857,0.109149783651017,0.776821712964089,0.12565404063964,0.00889250588317549,0.00212314631493097,0.0750202421663137,0.0107207382290214,0.000295021397664609,0.000164144889449126,0.000110012085960254,0,0.000198435429755336,0.082241898120312,0.0442833734143719,0.400409776879472,0.473064951585844,0.112461349561436,0.458776815170506,0.356263414388877,0.0724984208791821,"Maharashtra",97099117,50522262,46576855
"manipur",0.107788709367968,0.0234492676268558,0.112208773683959,27.2806165414317,0.514595195321853,0.147825272648115,0.319810517707397,21.046747033919,21.522520916061,-1.24118417542351,0.107311585401293,0.453702243166685,0.125168810986004,0.0603110437672535,0.253506316678764,0.523074306502877,0.102072897807952,0.25777349317845,0.000299240794409425,0.000748101986023563,0.00097552776118169,0.000461828754606373,0,0,0,0.1145946032145,0.104011217526175,0.048110754075841,0.366647182787575,0.48123084561041,0.647847887284402,0.137016163414072,0.168719671474927,0.0464162778265987,"Manipur",2166788,1095634,1071154
"meghalaya",0.258381633892929,0.114228865538514,0.263145152041553,23.3054274829083,0.499724278936617,0.210373318276932,0.237299969501917,21.2504242786624,21.0587132997133,-1.9150123367837,0.0184521899053327,0.0630325742008828,0.0282726097724332,0.0538787912958979,0.836363834825453,0.142137022262073,0.0457879677527866,0.673916760955227,0.000774695711820303,0.00147093842919389,0,0,0,0.00336110314537716,0,0.132551511743522,0.0497443389061307,0.02937173144936,0.2821843450871,0.638699584557409,0.517103021486965,0.303914661602785,0.136475935289807,0.0425063816204426,"Meghalaya",2318822,1176087,1142735
"mizoram",0.0602328855014418,0.0249336609790808,0.0618076430369627,26.2701978642001,0.497796763309467,0.136948394458442,0.524291994478063,21.4970083024014,21.2650581046725,-1.40960733822153,0.0122169947606414,0.00397799488308257,0.00797338432321671,0.00701683068163779,0.968814795351422,0.019021959291948,0.00642392350715696,0.944371264436745,0,0.0301828527641505,0,0,0,0,0,0,0.05383384742064,0.0393817874799221,0.456733093753295,0.450051271346143,0.06186820312942,0.901720283946533,0.0304225106019497,0.00598900232209756,"Mizoram",888573,459109,429464
"nagaland",0.226296470463115,0.0783540414772813,0.228178502426322,24.9676033615648,0.493722777240708,0.100544877952057,0.261109215863911,20.8924195993354,20.8916676846262,-1.30887909127399,0.00522574341914085,0.0696955300031363,0.143938110004946,0.0468702141737228,0.734270402399054,0.0950894567035592,0.0527183959335075,0.848834317129676,0.000481832920858225,0.000374171314827673,0.000654799800948428,0,0,0,0,0.0018470261966232,0.0448819200650721,0.0247022312549728,0.34970179259871,0.580714056081245,0.568405457439862,0.255610405243606,0.114545834494909,0.061438302821623,"Nagaland",1990036,1047141,942895
"orissa",0.532662906883376,0.392447528764045,0.535336484087251,27.618940980682,0.508165914896236,0.0937003153914745,0.16968874411489,19.9127109513805,19.6545127778582,-1.58543585325471,0.000886023330812351,0.311082923521336,0.272326250001757,0.189030540695707,0.226674262450388,0.969248872520653,0.0141731166573113,0.0137555565506795,0.000948113888002495,0,0,0,0,0.00169083446954724,0,0.000183505913806935,0.0429750813150163,0.0214495047538237,0.329961441474535,0.605613972456625,0.366732787686079,0.18191226668757,0.40259342166485,0.048761523961501,"Orissa",36804660,18660570,18144090
"punjab",0.0480245485484507,0.0136254251835018,0.048523147893388,28.1416187515771,0.469775391729282,0.0931239830205425,0.36388676174662,22.0736912439715,22.8999800612297,-1.31473564890111,0.0022077573308256,0.56564496333568,0.0963530903778361,0.334769748914184,0.001024440041475,0.411190174919178,0.0272139146378542,0.00960496339853432,0.545515344211581,0.000334147623275133,0.000320137512960936,0,0,0.00192082507776562,0,0.00390049261885086,0.0594656513308546,0.0576929914823794,0.413681699062033,0.469159658124733,0.167221237797879,0.559253398276659,0.224479502973627,0.0490458609518357,"Punjab",25259634,13491983,11767651
"rajasthan",0.360078984024354,0.239802230227648,0.360805793918813,24.6439771828535,0.488532256653228,0.0605160590336431,0.262227389632114,19.8104424450131,20.0733109456697,-1.55280787527306,0.00023392273829805,0.20276103671518,0.473474603742353,0.185866151918556,0.137664284885613,0.878228424021833,0.108554654160197,0.00167337228169897,0.00257936044224859,0,0.00896418909402281,0,0,0,0,0,0.0477311019960924,0.0190353189967781,0.278619341977766,0.654614237029364,0.793526127087096,0.112807431417481,0.0509455933859025,0.0427208481095208,"Rajasthan",56507188,29420011,27087177
"sikkim",0.0749624651494603,0.0184451604796376,0.0755434150858269,26.9227290518339,0.48066450013457,0.131664574734978,0.187977226443671,21.8729799431274,22.1192458266287,-1.31545447035769,0.00337453487360735,0.138483236593437,0.411914899978544,0.0886635944486439,0.357563734105768,0.580317350131732,0.020033826278553,0.0962520341147766,0,0.298190472996558,0.000248318661088072,0,0,0,0,0.0049579978172924,0.0486180279435417,0.0463265214926992,0.338046493002521,0.567008957561238,0.124778948887278,0.741389721691425,0.115684470642643,0.0181468587786539,"Sikkim",540851,288484,252367
"tamil nadu",0.201602025847081,0.105548393856229,0.204333436120996,30.9752090660365,0.518252948473222,0.140703259771848,0.46449477966271,21.1018957966521,21.5735364427253,-0.932149589728003,0.00142140121106773,0.0225670281811666,0.737272182520882,0.230617295989653,0.00812209209723138,0.896331323489062,0.039541799840605,0.06162060335766,0,0,0.00236656381911434,6.20931082484267e-05,0,7.76163853105334e-05,0,0,0.0792651387984104,0.0443778177176824,0.437919447960094,0.438437595523813,0.120517654406542,0.712705028948653,0.145615229499771,0.0211620871450345,"Tamil Nadu",63380024,31887870,31492154
"tripura",0.251966919925416,0.106513128983213,0.252429316544061,27.3735168866837,0.505324417245304,0.100728185370713,0.158193890028962,19.6218711888604,19.948826866361,-1.37797634183829,0.0261981558279548,0.362856541437384,0.203474061474719,0.235936836920125,0.171534404339817,0.87193732646495,0.102430749896338,0.00400110349144464,0,0.0210126337822898,0,0,0,0,0,0.00061818636497827,0.0382536464706486,0.0256561937878326,0.407717763950981,0.528372395790538,0.226153333030032,0.606708518232382,0.147487159744699,0.0196509889928868,"Tripura",3199203,1642225,1556978
"uttar pradesh",0.430170278769714,0.254221442577583,0.434198542863624,23.8846481519376,0.496340020565729,0.109069670832318,0.240738107354275,19.8506941063385,20.1609931799789,-2.02804738668494,0.000449010247825177,0.239632803263481,0.509657078818272,0.240485960386616,0.00977514728380591,0.803052383635886,0.190245421209295,0.00124610031339488,0.00443459039428126,0.000312927684942555,0.000707889389710495,0,0,6.87372489924e-07,0,0,0.0454243384069001,0.0328031143768657,0.281166670351327,0.640605876864907,0.875345893371986,0.0509176914074754,0.0221955330894176,0.0515408821311211,"Uttar Pradesh",166197921,87565369,78632552
"uttaranchal",0.152716085777263,0.0597152436698112,0.155033594904286,26.7929065472781,0.497795284853586,0.11559766360917,0.274505221353846,20.4949250056846,20.8303575252318,-1.61384381934244,0.000550938869122317,0.591036221791926,0.162627273981283,0.21694814214678,0.028837423210888,0.853578820976701,0.0900390884482193,0.00150947964999176,0.0504875089324882,0.00119151357975843,0.00303904697527724,0,0,0.000154541437564417,0,0,0.0866179168728004,0.0551495553704365,0.37843755682967,0.479794970927093,0.524822547908627,0.237411049694969,0.164344529709413,0.0734218726869902,"Uttaranchal",8489349,4325924,4163425
"west bengal",0.430083710333297,0.24836044099158,0.433872862335363,27.1294761379795,0.503938481055845,0.122053528294244,0.295088530843016,19.9798060194092,20.1663063713625,-1.50631224595455,0.114535742748252,0.533477773182452,0.0431128100454464,0.25572794444459,0.0531457295792595,0.70820752333308,0.281267382988812,0.00595251392244952,0.00204762133740793,0.000607950385689677,0.00190173461656699,0,7.63670799667379e-06,7.63670799667379e-06,0,0,0.0553052275127493,0.025686710262878,0.311963597405047,0.607044464819326,0.218000583376869,0.64296160987015,0.119360035925203,0.0196777708277779,"West Bengal",80176197,41465985,38710212
