Budget Type,District,Government,Budget,Economic Function,year,Vote,ofWhich,Programme
Development Budget Estimates,NAMAYINGO District,Central Government,"495,257",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:594,,Project  1382 WATER AND ENVIRONMENT DEVELOPMENT
Development Budget Estimates,NAMAYINGO District,Central Government,"21,576",321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:594,,Project  1382 WATER AND ENVIRONMENT DEVELOPMENT
Development Budget Estimates,NAMAYINGO District,Central Government,"233,320",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:594,,Project  1383 EDUCATION DEVELOPMENT
Development Budget Estimates,NAMAYINGO District,Central Government,"380,233",321403  District Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:594,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,NAMAYINGO District,Central Government,"29,942",321463  Urban Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:594,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,NAMAYINGO District,Central Government,"29,942",o/w Namayingo Town Council,2017/18 Draft Estimates,Vote:594,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,NAMAYINGO District,Central Government,0,321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:594,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Recurrent Budget Estimates,NTOROKO District,Central Government,"6,204",212105  Pension for Local Governments,2017/18 Draft Estimates,Vote:595,,Programme  01 Administration
Recurrent Budget Estimates,NTOROKO District,Central Government,"20,939",212107  Gratuity for Local Governments,2017/18 Draft Estimates,Vote:595,,Programme  01 Administration
Recurrent Budget Estimates,NTOROKO District,Central Government,"372,918",321401  District Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:595,,Programme  01 Administration
Recurrent Budget Estimates,NTOROKO District,Central Government,"28,120",o/w Boards & Commissions District,2017/18 Draft Estimates,Vote:595,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,NTOROKO District,Central Government,"208,636",o/w District UCG - NWR District,2017/18 Draft Estimates,Vote:595,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,NTOROKO District,Central Government,"53,355",o/w District UCG - NWR Subcounty,2017/18 Draft Estimates,Vote:595,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,NTOROKO District,Central Government,"79,920",o/w Ex-Gratia District,2017/18 Draft Estimates,Vote:595,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,NTOROKO District,Central Government,"2,886",o/w Payroll Printing District,2017/18 Draft Estimates,Vote:595,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,NTOROKO District,Central Government,"131,129",321402  Urban Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:595,,Programme  01 Administration
Recurrent Budget Estimates,NTOROKO District,Central Government,"40,505",o/w Kanara Town Council,2017/18 Draft Estimates,Vote:595,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,NTOROKO District,Central Government,"49,632",o/w Karugutu Town Council,2017/18 Draft Estimates,Vote:595,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,NTOROKO District,Central Government,"18,741",o/w Kibuuku Town Council,2017/18 Draft Estimates,Vote:595,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,NTOROKO District,Central Government,"22,251",o/w Rwebisengo Town Council,2017/18 Draft Estimates,Vote:595,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,NTOROKO District,Central Government,"247,250",321450  Urban Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:595,,Programme  01 Administration
Recurrent Budget Estimates,NTOROKO District,Central Government,"1,062,070",321451  District Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:595,,Programme  01 Administration
Recurrent Budget Estimates,NTOROKO District,Central Government,"6,912",321605  Domestic arrears (Budgeting),2017/18 Draft Estimates,Vote:595,,Programme  01 Administration
Recurrent Budget Estimates,NTOROKO District,Central Government,0,321608  General Public Service Pension Arrears (Budgeting),2017/18 Draft Estimates,Vote:595,,Programme  01 Administration
Recurrent Budget Estimates,NTOROKO District,Central Government,"306,359",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:595,,Programme  04 Production and Marketing
Recurrent Budget Estimates,NTOROKO District,Central Government,"19,531",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:595,,Programme  04 Production and Marketing
Recurrent Budget Estimates,NTOROKO District,Central Government,"701,497",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:595,,Programme  05 Health
Recurrent Budget Estimates,NTOROKO District,Central Government,"701,497",o/w Health - Wage Conditional Grant,2017/18 Draft Estimates,Vote:595,321466  Sector Conditional Grant (Wage),Programme  05 Health
Recurrent Budget Estimates,NTOROKO District,Central Government,"80,094",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:595,,Programme  05 Health
Recurrent Budget Estimates,NTOROKO District,Central Government,"80,094",o/w Primary Health Care - Non Wage Recurrent,2017/18 Draft Estimates,Vote:595,321467  Sector Conditional Grant (Non-Wage),Programme  05 Health
Recurrent Budget Estimates,NTOROKO District,Central Government,"2,775,430",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:595,,Programme  06 Education
Recurrent Budget Estimates,NTOROKO District,Central Government,"2,408,022",o/w Primary Education - Wage,2017/18 Draft Estimates,Vote:595,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,NTOROKO District,Central Government,"367,408",o/w Secondary Education - Wage,2017/18 Draft Estimates,Vote:595,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,NTOROKO District,Central Government,"315,505",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:595,,Programme  06 Education
Recurrent Budget Estimates,NTOROKO District,Central Government,"17,475",o/w Inspection,2017/18 Draft Estimates,Vote:595,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,NTOROKO District,Central Government,"135,449",o/w Primary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:595,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,NTOROKO District,Central Government,"162,580",o/w Secondary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:595,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,NTOROKO District,Central Government,"34,999",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:595,,Programme  07 Works
Recurrent Budget Estimates,NTOROKO District,Central Government,"2,333",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:595,,Programme  08 Natural Resources
Recurrent Budget Estimates,NTOROKO District,Central Government,"20,994",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:595,,Programme  09 Community Based Services
Development Budget Estimates,NTOROKO District,Central Government,"13,660",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:595,,Project  0100 PRODUCTION DEVELOPMENT
Development Budget Estimates,NTOROKO District,Central Government,"195,437",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:595,,Project  1382 WATER AND ENVIRONMENT DEVELOPMENT
Development Budget Estimates,NTOROKO District,Central Government,"21,576",321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:595,,Project  1382 WATER AND ENVIRONMENT DEVELOPMENT
Development Budget Estimates,NTOROKO District,Central Government,"101,390",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:595,,Project  1383 EDUCATION DEVELOPMENT
Development Budget Estimates,NTOROKO District,Central Government,0,321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:595,,Project  1383 EDUCATION DEVELOPMENT
Development Budget Estimates,NTOROKO District,Central Government,"211,991",321403  District Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:595,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,NTOROKO District,Central Government,"54,845",321463  Urban Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:595,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,NTOROKO District,Central Government,"18,483",o/w Kanara Town Council,2017/18 Draft Estimates,Vote:595,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,NTOROKO District,Central Government,"24,123",o/w Karugutu Town Council,2017/18 Draft Estimates,Vote:595,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,NTOROKO District,Central Government,"5,035",o/w Kibuuku Town Council,2017/18 Draft Estimates,Vote:595,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,NTOROKO District,Central Government,"7,204",o/w Rwebisengo Town Council,2017/18 Draft Estimates,Vote:595,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,NTOROKO District,Central Government,0,321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:595,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Recurrent Budget Estimates,SERERE District,Central Government,"357,083",212105  Pension for Local Governments,2017/18 Draft Estimates,Vote:596,,Programme  01 Administration
Recurrent Budget Estimates,SERERE District,Central Government,"436,226",212107  Gratuity for Local Governments,2017/18 Draft Estimates,Vote:596,,Programme  01 Administration
Recurrent Budget Estimates,SERERE District,Central Government,"634,593",321401  District Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:596,,Programme  01 Administration
Recurrent Budget Estimates,SERERE District,Central Government,"28,120",o/w Boards & Commissions District,2017/18 Draft Estimates,Vote:596,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,SERERE District,Central Government,"335,968",o/w District UCG - NWR District,2017/18 Draft Estimates,Vote:596,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,SERERE District,Central Government,"186,036",o/w District UCG - NWR Subcounty,2017/18 Draft Estimates,Vote:596,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,SERERE District,Central Government,"74,880",o/w Ex-Gratia District,2017/18 Draft Estimates,Vote:596,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,SERERE District,Central Government,"9,589",o/w Payroll Printing District,2017/18 Draft Estimates,Vote:596,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,SERERE District,Central Government,"127,642",321402  Urban Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:596,,Programme  01 Administration
Recurrent Budget Estimates,SERERE District,Central Government,"39,926",o/w Kadungulu Town Council,2017/18 Draft Estimates,Vote:596,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,SERERE District,Central Government,"28,133",o/w Kasilo Town Council,2017/18 Draft Estimates,Vote:596,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,SERERE District,Central Government,"20,947",o/w Kidetok Town Council,2017/18 Draft Estimates,Vote:596,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,SERERE District,Central Government,"38,636",o/w Serere Town Council,2017/18 Draft Estimates,Vote:596,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,SERERE District,Central Government,"255,399",321450  Urban Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:596,,Programme  01 Administration
Recurrent Budget Estimates,SERERE District,Central Government,"1,136,815",321451  District Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:596,,Programme  01 Administration
Recurrent Budget Estimates,SERERE District,Central Government,"360,239",321608  General Public Service Pension Arrears (Budgeting),2017/18 Draft Estimates,Vote:596,,Programme  01 Administration
Recurrent Budget Estimates,SERERE District,Central Government,"269,243",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:596,,Programme  04 Production and Marketing
Recurrent Budget Estimates,SERERE District,Central Government,"52,070",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:596,,Programme  04 Production and Marketing
Recurrent Budget Estimates,SERERE District,Central Government,"1,529,686",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:596,,Programme  05 Health
Recurrent Budget Estimates,SERERE District,Central Government,"1,529,686",o/w Health - Wage Conditional Grant,2017/18 Draft Estimates,Vote:596,321466  Sector Conditional Grant (Wage),Programme  05 Health
Recurrent Budget Estimates,SERERE District,Central Government,"169,677",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:596,,Programme  05 Health
Recurrent Budget Estimates,SERERE District,Central Government,"169,677",o/w Primary Health Care - Non Wage Recurrent,2017/18 Draft Estimates,Vote:596,321467  Sector Conditional Grant (Non-Wage),Programme  05 Health
Recurrent Budget Estimates,SERERE District,Central Government,"9,044,221",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:596,,Programme  06 Education
Recurrent Budget Estimates,SERERE District,Central Government,"7,487,202",o/w Primary Education - Wage,2017/18 Draft Estimates,Vote:596,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,SERERE District,Central Government,"1,438,741",o/w Secondary Education - Wage,2017/18 Draft Estimates,Vote:596,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,SERERE District,Central Government,"118,278",o/w Skills Development - Wage,2017/18 Draft Estimates,Vote:596,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,SERERE District,Central Government,"1,843,439",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:596,,Programme  06 Education
Recurrent Budget Estimates,SERERE District,Central Government,"33,182",o/w Inspection,2017/18 Draft Estimates,Vote:596,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,SERERE District,Central Government,"691,201",o/w Primary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:596,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,SERERE District,Central Government,"1,002,201",o/w Secondary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:596,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,SERERE District,Central Government,"116,855",o/w Skills Development - Non Wage Recurrent,2017/18 Draft Estimates,Vote:596,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,SERERE District,Central Government,"34,740",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:596,,Programme  07 Works
Recurrent Budget Estimates,SERERE District,Central Government,"20,000",321469  Support Services Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:596,,Programme  07 Works
Recurrent Budget Estimates,SERERE District,Central Government,"8,439",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:596,,Programme  08 Natural Resources
Recurrent Budget Estimates,SERERE District,Central Government,"44,110",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:596,,Programme  09 Community Based Services
Development Budget Estimates,SERERE District,Central Government,"50,557",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:596,,Project  0100 PRODUCTION DEVELOPMENT
Development Budget Estimates,SERERE District,Central Government,"353,719",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:596,,Project  1382 WATER AND ENVIRONMENT DEVELOPMENT
Development Budget Estimates,SERERE District,Central Government,"253,030",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:596,,Project  1383 EDUCATION DEVELOPMENT
Development Budget Estimates,SERERE District,Central Government,"409,125",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:596,,Project  1384 WORKS AND TRANSPORT DEVELOPMENT
Development Budget Estimates,SERERE District,Central Government,"69,852",321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:596,,Project  1385 HEALTH DEVELOPMENT
Development Budget Estimates,SERERE District,Central Government,"1,889,403",321403  District Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:596,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,SERERE District,Central Government,"58,650",321463  Urban Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:596,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,SERERE District,Central Government,"25,241",o/w Kadungulu Town Council,2017/18 Draft Estimates,Vote:596,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,SERERE District,Central Government,"9,677",o/w Kasilo Town Council,2017/18 Draft Estimates,Vote:596,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,SERERE District,Central Government,193,o/w Kidetok Town Council,2017/18 Draft Estimates,Vote:596,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,SERERE District,Central Government,"23,539",o/w Serere Town Council,2017/18 Draft Estimates,Vote:596,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,SERERE District,Central Government,0,321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:596,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"188,779",212105  Pension for Local Governments,2017/18 Draft Estimates,Vote:597,,Programme  01 Administration
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"585,161",212107  Gratuity for Local Governments,2017/18 Draft Estimates,Vote:597,,Programme  01 Administration
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"652,654",321401  District Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:597,,Programme  01 Administration
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"28,120",o/w Boards & Commissions District,2017/18 Draft Estimates,Vote:597,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"302,220",o/w District UCG - NWR District,2017/18 Draft Estimates,Vote:597,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"154,564",o/w District UCG - NWR Subcounty,2017/18 Draft Estimates,Vote:597,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"130,680",o/w Ex-Gratia District,2017/18 Draft Estimates,Vote:597,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"30,000",o/w IFMIS District,2017/18 Draft Estimates,Vote:597,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"7,069",o/w Payroll Printing District,2017/18 Draft Estimates,Vote:597,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"137,955",321402  Urban Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:597,,Programme  01 Administration
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"57,214",o/w Butemba Town Council,2017/18 Draft Estimates,Vote:597,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"34,990",o/w Kyankwanzi Town Council,2017/18 Draft Estimates,Vote:597,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"45,751",o/w Ntwetwe Town Council,2017/18 Draft Estimates,Vote:597,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"245,117",321450  Urban Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:597,,Programme  01 Administration
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"910,002",321451  District Unconditional Grant (Wage),2017/18 Draft Estimates,Vote:597,,Programme  01 Administration
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"313,784",321605  Domestic arrears (Budgeting),2017/18 Draft Estimates,Vote:597,,Programme  01 Administration
Recurrent Budget Estimates,KYANKWANZI District,Central Government,0,321608  General Public Service Pension Arrears (Budgeting),2017/18 Draft Estimates,Vote:597,,Programme  01 Administration
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"374,453",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:597,,Programme  04 Production and Marketing
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"43,087",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:597,,Programme  04 Production and Marketing
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"1,405,542",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:597,,Programme  05 Health
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"1,405,542",o/w Health - Wage Conditional Grant,2017/18 Draft Estimates,Vote:597,321466  Sector Conditional Grant (Wage),Programme  05 Health
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"157,205",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:597,,Programme  05 Health
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"157,205",o/w Primary Health Care - Non Wage Recurrent,2017/18 Draft Estimates,Vote:597,321467  Sector Conditional Grant (Non-Wage),Programme  05 Health
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"7,570,398",321466  Sector Conditional Grant (Wage),2017/18 Draft Estimates,Vote:597,,Programme  06 Education
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"6,477,041",o/w Primary Education - Wage,2017/18 Draft Estimates,Vote:597,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"1,093,357",o/w Secondary Education - Wage,2017/18 Draft Estimates,Vote:597,321466  Sector Conditional Grant (Wage),Programme  06 Education
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"799,797",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:597,,Programme  06 Education
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"36,324",o/w Inspection,2017/18 Draft Estimates,Vote:597,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"407,937",o/w Primary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:597,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"355,537",o/w Secondary Education - Non Wage Recurrent,2017/18 Draft Estimates,Vote:597,321467  Sector Conditional Grant (Non-Wage),Programme  06 Education
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"38,250",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:597,,Programme  07 Works
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"6,105",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:597,,Programme  08 Natural Resources
Recurrent Budget Estimates,KYANKWANZI District,Central Government,"44,255",321467  Sector Conditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:597,,Programme  09 Community Based Services
Development Budget Estimates,KYANKWANZI District,Central Government,"39,156",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:597,,Project  0100 PRODUCTION DEVELOPMENT
Development Budget Estimates,KYANKWANZI District,Central Government,"445,253",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:597,,Project  1382 WATER AND ENVIRONMENT DEVELOPMENT
Development Budget Estimates,KYANKWANZI District,Central Government,"21,576",321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:597,,Project  1382 WATER AND ENVIRONMENT DEVELOPMENT
Development Budget Estimates,KYANKWANZI District,Central Government,"206,891",321470  Sector Development Grant,2017/18 Draft Estimates,Vote:597,,Project  1383 EDUCATION DEVELOPMENT
Development Budget Estimates,KYANKWANZI District,Central Government,"200,000",321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:597,,Project  1383 EDUCATION DEVELOPMENT
Development Budget Estimates,KYANKWANZI District,Central Government,"659,863",321403  District Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:597,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,KYANKWANZI District,Central Government,"63,760",321463  Urban Discretionary Development Equalization Grant,2017/18 Draft Estimates,Vote:597,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,KYANKWANZI District,Central Government,"30,005",o/w Butemba Town Council,2017/18 Draft Estimates,Vote:597,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,KYANKWANZI District,Central Government,"12,684",o/w Kyankwanzi Town Council,2017/18 Draft Estimates,Vote:597,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,KYANKWANZI District,Central Government,"21,071",o/w Ntwetwe Town Council,2017/18 Draft Estimates,Vote:597,321463  Urban Discretionary Development Equalization Grant,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Development Budget Estimates,KYANKWANZI District,Central Government,0,321472  Transitional Development Grant,2017/18 Draft Estimates,Vote:597,,Project  9998 LOCAL GOVERNMENT DEVELOPMENT PROGRAMS
Recurrent Budget Estimates,KALUNGU District,Central Government,"355,532",212105  Pension for Local Governments,2017/18 Draft Estimates,Vote:598,,Programme  01 Administration
Recurrent Budget Estimates,KALUNGU District,Central Government,"308,923",212107  Gratuity for Local Governments,2017/18 Draft Estimates,Vote:598,,Programme  01 Administration
Recurrent Budget Estimates,KALUNGU District,Central Government,"450,218",321401  District Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:598,,Programme  01 Administration
Recurrent Budget Estimates,KALUNGU District,Central Government,"28,120",o/w Boards & Commissions District,2017/18 Draft Estimates,Vote:598,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,KALUNGU District,Central Government,"241,614",o/w District UCG - NWR District,2017/18 Draft Estimates,Vote:598,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,KALUNGU District,Central Government,"94,223",o/w District UCG - NWR Subcounty,2017/18 Draft Estimates,Vote:598,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,KALUNGU District,Central Government,"77,520",o/w Ex-Gratia District,2017/18 Draft Estimates,Vote:598,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,KALUNGU District,Central Government,"8,740",o/w Payroll Printing District,2017/18 Draft Estimates,Vote:598,321401  District Unconditional Grant (Non-Wage),Programme  01 Administration
Recurrent Budget Estimates,KALUNGU District,Central Government,"145,926",321402  Urban Unconditional Grant (Non-Wage),2017/18 Draft Estimates,Vote:598,,Programme  01 Administration
Recurrent Budget Estimates,KALUNGU District,Central Government,"39,850",o/w Kalungu Town Council,2017/18 Draft Estimates,Vote:598,321402  Urban Unconditional Grant (Non-Wage),Programme  01 Administration
