columnType,budgetType,value,year,vote,sp_pj,page,programme
Total,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 05 Posts and Telecommunications,784,Programmme 01  Enabling enviroment for ICT Development and Regulation
Wage,Recurrent Budget Estimates,"125,685",2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 05 Posts and Telecommunications,784,Programmme 01  Enabling enviroment for ICT Development and Regulation
Non Wage,Recurrent Budget Estimates,"283,588",2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 05 Posts and Telecommunications,784,Programmme 01  Enabling enviroment for ICT Development and Regulation
AIA,Recurrent Budget Estimates,"202,000",2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 05 Posts and Telecommunications,784,Programmme 01  Enabling enviroment for ICT Development and Regulation
Wage,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 01 Information,786,Programmme 01  Enabling enviroment for ICT Development and Regulation
Non Wage,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 01 Information,786,Programmme 01  Enabling enviroment for ICT Development and Regulation
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 01 Information,786,Programmme 01  Enabling enviroment for ICT Development and Regulation
Total,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 01 Information,786,Programmme 01  Enabling enviroment for ICT Development and Regulation
Wage,Recurrent Budget Estimates,"173,724",2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 01 Information,786,Programmme 01  Enabling enviroment for ICT Development and Regulation
Non Wage,Recurrent Budget Estimates,"11,347,790",2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 01 Information,786,Programmme 01  Enabling enviroment for ICT Development and Regulation
AIA,Recurrent Budget Estimates,"600,000",2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 01 Information,786,Programmme 01  Enabling enviroment for ICT Development and Regulation
Wage,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 02 National Guidance,786,Programmme 01  Enabling enviroment for ICT Development and Regulation
Non Wage,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 02 National Guidance,786,Programmme 01  Enabling enviroment for ICT Development and Regulation
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 02 National Guidance,786,Programmme 01  Enabling enviroment for ICT Development and Regulation
Total,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 02 National Guidance,786,Programmme 01  Enabling enviroment for ICT Development and Regulation
Wage,Recurrent Budget Estimates,"173,724",2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 02 National Guidance,786,Programmme 01  Enabling enviroment for ICT Development and Regulation
Non Wage,Recurrent Budget Estimates,"365,446",2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 02 National Guidance,786,Programmme 01  Enabling enviroment for ICT Development and Regulation
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 02 National Guidance,786,Programmme 01  Enabling enviroment for ICT Development and Regulation
Wage,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 03 Uganda Media Center,787,Programmme 01  Enabling enviroment for ICT Development and Regulation
Non Wage,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 03 Uganda Media Center,787,Programmme 01  Enabling enviroment for ICT Development and Regulation
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 03 Uganda Media Center,787,Programmme 01  Enabling enviroment for ICT Development and Regulation
Total,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 03 Uganda Media Center,787,Programmme 01  Enabling enviroment for ICT Development and Regulation
Wage,Recurrent Budget Estimates,"410,554",2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 03 Uganda Media Center,787,Programmme 01  Enabling enviroment for ICT Development and Regulation
Non Wage,Recurrent Budget Estimates,"700,000",2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 03 Uganda Media Center,787,Programmme 01  Enabling enviroment for ICT Development and Regulation
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 03 Uganda Media Center,787,Programmme 01  Enabling enviroment for ICT Development and Regulation
Wage,Recurrent Budget Estimates,"130,521",2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 04 Broadcasting Infrastructure Department,787,Programmme 01  Enabling enviroment for ICT Development and Regulation
Non Wage,Recurrent Budget Estimates,"314,762",2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 04 Broadcasting Infrastructure Department,787,Programmme 01  Enabling enviroment for ICT Development and Regulation
AIA,Recurrent Budget Estimates,"177,297",2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 04 Broadcasting Infrastructure Department,787,Programmme 01  Enabling enviroment for ICT Development and Regulation
Total,Recurrent Budget Estimates,"622,580",2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 04 Broadcasting Infrastructure Department,787,Programmme 01  Enabling enviroment for ICT Development and Regulation
Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 04 Broadcasting Infrastructure Department,787,Programmme 01  Enabling enviroment for ICT Development and Regulation
Non Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 04 Broadcasting Infrastructure Department,787,Programmme 01  Enabling enviroment for ICT Development and Regulation
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 04 Broadcasting Infrastructure Department,787,Programmme 01  Enabling enviroment for ICT Development and Regulation
Wage,Recurrent Budget Estimates,"124,700",2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 05 Telecommunication and Posts,788,Programmme 01  Enabling enviroment for ICT Development and Regulation
Non Wage,Recurrent Budget Estimates,"314,762",2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 05 Telecommunication and Posts,788,Programmme 01  Enabling enviroment for ICT Development and Regulation
AIA,Recurrent Budget Estimates,"137,297",2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 05 Telecommunication and Posts,788,Programmme 01  Enabling enviroment for ICT Development and Regulation
Total,Recurrent Budget Estimates,"576,759",2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 05 Telecommunication and Posts,788,Programmme 01  Enabling enviroment for ICT Development and Regulation
Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 05 Telecommunication and Posts,788,Programmme 01  Enabling enviroment for ICT Development and Regulation
Non Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 05 Telecommunication and Posts,788,Programmme 01  Enabling enviroment for ICT Development and Regulation
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 05 Telecommunication and Posts,788,Programmme 01  Enabling enviroment for ICT Development and Regulation
GoU Dev't,Development Budget Estimates,"124,700",2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 05 Telecommunication and Posts,790,Programmme 01  Enabling enviroment for ICT Development and Regulation
External Fin,Development Budget Estimates,"314,762",2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 05 Telecommunication and Posts,790,Programmme 01  Enabling enviroment for ICT Development and Regulation
AIA,Development Budget Estimates,"137,297",2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 05 Telecommunication and Posts,790,Programmme 01  Enabling enviroment for ICT Development and Regulation
Total,Development Budget Estimates,"576,759",2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 05 Telecommunication and Posts,790,Programmme 01  Enabling enviroment for ICT Development and Regulation
GoU Dev't,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 05 Telecommunication and Posts,790,Programmme 01  Enabling enviroment for ICT Development and Regulation
External Fin,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 05 Telecommunication and Posts,790,Programmme 01  Enabling enviroment for ICT Development and Regulation
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 05 Telecommunication and Posts,790,Programmme 01  Enabling enviroment for ICT Development and Regulation
Wage,Recurrent Budget Estimates,"314,367",2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 01 Headquarters (Finance and Administration),792,Programmme 01  Enabling enviroment for ICT Development and Regulation
Non Wage,Recurrent Budget Estimates,"4,204,565",2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 01 Headquarters (Finance and Administration),792,Programmme 01  Enabling enviroment for ICT Development and Regulation
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 01 Headquarters (Finance and Administration),792,Programmme 01  Enabling enviroment for ICT Development and Regulation
Total,Recurrent Budget Estimates,"4,518,932",2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 01 Headquarters (Finance and Administration),792,Programmme 01  Enabling enviroment for ICT Development and Regulation
Wage,Recurrent Budget Estimates,"483,509",2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 01 Headquarters (Finance and Administration),792,Programmme 01  Enabling enviroment for ICT Development and Regulation
Non Wage,Recurrent Budget Estimates,"4,956,419",2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 01 Headquarters (Finance and Administration),792,Programmme 01  Enabling enviroment for ICT Development and Regulation
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 01 Headquarters (Finance and Administration),792,Programmme 01  Enabling enviroment for ICT Development and Regulation
Wage,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 06 Internal Audit,793,Programmme 01  Enabling enviroment for ICT Development and Regulation
Non Wage,Recurrent Budget Estimates,"130,000",2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 06 Internal Audit,793,Programmme 01  Enabling enviroment for ICT Development and Regulation
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 06 Internal Audit,793,Programmme 01  Enabling enviroment for ICT Development and Regulation
Total,Recurrent Budget Estimates,"130,000",2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 06 Internal Audit,793,Programmme 01  Enabling enviroment for ICT Development and Regulation
Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 06 Internal Audit,793,Programmme 01  Enabling enviroment for ICT Development and Regulation
Non Wage,Recurrent Budget Estimates,"110,000",2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 06 Internal Audit,793,Programmme 01  Enabling enviroment for ICT Development and Regulation
AIA,Recurrent Budget Estimates,"37,849",2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 06 Internal Audit,793,Programmme 01  Enabling enviroment for ICT Development and Regulation
GoU Dev't,Development Budget Estimates,0,2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 06 Internal Audit,795,Programmme 01  Enabling enviroment for ICT Development and Regulation
External Fin,Development Budget Estimates,"130,000",2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 06 Internal Audit,795,Programmme 01  Enabling enviroment for ICT Development and Regulation
AIA,Development Budget Estimates,0,2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 06 Internal Audit,795,Programmme 01  Enabling enviroment for ICT Development and Regulation
Total,Development Budget Estimates,"130,000",2016/17 Approved Budget,Vote:020 Ministry of ICT and National Guidance,SubProgramme 06 Internal Audit,795,Programmme 01  Enabling enviroment for ICT Development and Regulation
GoU Dev't,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 06 Internal Audit,795,Programmme 01  Enabling enviroment for ICT Development and Regulation
External Fin,Development Budget Estimates,"110,000",2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 06 Internal Audit,795,Programmme 01  Enabling enviroment for ICT Development and Regulation
AIA,Development Budget Estimates,"37,849",2017/18 Draft Estimates,Vote:020 Ministry of ICT and National Guidance,SubProgramme 06 Internal Audit,795,Programmme 01  Enabling enviroment for ICT Development and Regulation
Wage,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 02 Political Affairs,800,Programmme 01  Regional Integration
Non Wage,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 02 Political Affairs,800,Programmme 01  Regional Integration
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 02 Political Affairs,800,Programmme 01  Regional Integration
Total,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 02 Political Affairs,800,Programmme 01  Regional Integration
Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 02 Political Affairs,800,Programmme 01  Regional Integration
Non Wage,Recurrent Budget Estimates,"175,232",2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 02 Political Affairs,800,Programmme 01  Regional Integration
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 02 Political Affairs,800,Programmme 01  Regional Integration
Wage,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 03 Production and Infrastructure,801,Programmme 01  Regional Integration
Non Wage,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 03 Production and Infrastructure,801,Programmme 01  Regional Integration
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 03 Production and Infrastructure,801,Programmme 01  Regional Integration
Total,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 03 Production and Infrastructure,801,Programmme 01  Regional Integration
Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 03 Production and Infrastructure,801,Programmme 01  Regional Integration
Non Wage,Recurrent Budget Estimates,"200,930",2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 03 Production and Infrastructure,801,Programmme 01  Regional Integration
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 03 Production and Infrastructure,801,Programmme 01  Regional Integration
Wage,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 04 Economic Affairs,801,Programmme 01  Regional Integration
Non Wage,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 04 Economic Affairs,801,Programmme 01  Regional Integration
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 04 Economic Affairs,801,Programmme 01  Regional Integration
Total,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 04 Economic Affairs,801,Programmme 01  Regional Integration
Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 04 Economic Affairs,801,Programmme 01  Regional Integration
Non Wage,Recurrent Budget Estimates,"190,481",2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 04 Economic Affairs,801,Programmme 01  Regional Integration
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 04 Economic Affairs,801,Programmme 01  Regional Integration
Wage,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 05 Social Affairs,802,Programmme 01  Regional Integration
Non Wage,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 05 Social Affairs,802,Programmme 01  Regional Integration
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 05 Social Affairs,802,Programmme 01  Regional Integration
Total,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 05 Social Affairs,802,Programmme 01  Regional Integration
Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 05 Social Affairs,802,Programmme 01  Regional Integration
Non Wage,Recurrent Budget Estimates,"215,960",2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 05 Social Affairs,802,Programmme 01  Regional Integration
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 05 Social Affairs,802,Programmme 01  Regional Integration
Wage,Recurrent Budget Estimates,"16,939",2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 02 Political and Legal Affairs,803,Programmme 01  Regional Integration
Non Wage,Recurrent Budget Estimates,"257,012",2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 02 Political and Legal Affairs,803,Programmme 01  Regional Integration
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 02 Political and Legal Affairs,803,Programmme 01  Regional Integration
Total,Recurrent Budget Estimates,"273,951",2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 02 Political and Legal Affairs,803,Programmme 01  Regional Integration
Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 02 Political and Legal Affairs,803,Programmme 01  Regional Integration
Non Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 02 Political and Legal Affairs,803,Programmme 01  Regional Integration
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 02 Political and Legal Affairs,803,Programmme 01  Regional Integration
Wage,Recurrent Budget Estimates,"115,438",2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 03 Production and Social services,804,Programmme 01  Regional Integration
Non Wage,Recurrent Budget Estimates,"360,967",2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 03 Production and Social services,804,Programmme 01  Regional Integration
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 03 Production and Social services,804,Programmme 01  Regional Integration
Total,Recurrent Budget Estimates,"476,405",2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 03 Production and Social services,804,Programmme 01  Regional Integration
Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 03 Production and Social services,804,Programmme 01  Regional Integration
Non Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 03 Production and Social services,804,Programmme 01  Regional Integration
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 03 Production and Social services,804,Programmme 01  Regional Integration
Wage,Recurrent Budget Estimates,"61,987",2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 04 Economic Affairs,804,Programmme 01  Regional Integration
Non Wage,Recurrent Budget Estimates,"277,623",2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 04 Economic Affairs,804,Programmme 01  Regional Integration
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 04 Economic Affairs,804,Programmme 01  Regional Integration
Total,Recurrent Budget Estimates,"339,610",2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 04 Economic Affairs,804,Programmme 01  Regional Integration
Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 04 Economic Affairs,804,Programmme 01  Regional Integration
Non Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 04 Economic Affairs,804,Programmme 01  Regional Integration
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 04 Economic Affairs,804,Programmme 01  Regional Integration
Wage,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 01 Finance and Administration,805,Programmme 01  Regional Integration
Non Wage,Recurrent Budget Estimates,"29,415,730",2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 01 Finance and Administration,805,Programmme 01  Regional Integration
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 01 Finance and Administration,805,Programmme 01  Regional Integration
Total,Recurrent Budget Estimates,"29,415,730",2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 01 Finance and Administration,805,Programmme 01  Regional Integration
Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 01 Finance and Administration,805,Programmme 01  Regional Integration
Non Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 01 Finance and Administration,805,Programmme 01  Regional Integration
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 01 Finance and Administration,805,Programmme 01  Regional Integration
Wage,Recurrent Budget Estimates,"351,840",2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 01 Finance and Administration,808,Programmme 01  Regional Integration
Non Wage,Recurrent Budget Estimates,"7,235,025",2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 01 Finance and Administration,808,Programmme 01  Regional Integration
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 01 Finance and Administration,808,Programmme 01  Regional Integration
Total,Recurrent Budget Estimates,"7,586,865",2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 01 Finance and Administration,808,Programmme 01  Regional Integration
Wage,Recurrent Budget Estimates,"1,086,228",2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 01 Finance and Administration,808,Programmme 01  Regional Integration
Non Wage,Recurrent Budget Estimates,"58,401,538",2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 01 Finance and Administration,808,Programmme 01  Regional Integration
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 01 Finance and Administration,808,Programmme 01  Regional Integration
Wage,Recurrent Budget Estimates,"22,608",2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 05 Internal Audit,808,Programmme 01  Regional Integration
Non Wage,Recurrent Budget Estimates,"75,000",2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 05 Internal Audit,808,Programmme 01  Regional Integration
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 05 Internal Audit,808,Programmme 01  Regional Integration
Total,Recurrent Budget Estimates,"97,608",2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 05 Internal Audit,808,Programmme 01  Regional Integration
Wage,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 05 Internal Audit,808,Programmme 01  Regional Integration
Non Wage,Recurrent Budget Estimates,"85,000",2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 05 Internal Audit,808,Programmme 01  Regional Integration
AIA,Recurrent Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 05 Internal Audit,808,Programmme 01  Regional Integration
GoU Dev't,Development Budget Estimates,"22,608",2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 05 Internal Audit,809,Programmme 01  Regional Integration
External Fin,Development Budget Estimates,"75,000",2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 05 Internal Audit,809,Programmme 01  Regional Integration
AIA,Development Budget Estimates,0,2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 05 Internal Audit,809,Programmme 01  Regional Integration
Total,Development Budget Estimates,"97,608",2016/17 Approved Budget,Vote:021 East African Community,SubProgramme 05 Internal Audit,809,Programmme 01  Regional Integration
GoU Dev't,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 05 Internal Audit,809,Programmme 01  Regional Integration
External Fin,Development Budget Estimates,"85,000",2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 05 Internal Audit,809,Programmme 01  Regional Integration
AIA,Development Budget Estimates,0,2017/18 Draft Estimates,Vote:021 East African Community,SubProgramme 05 Internal Audit,809,Programmme 01  Regional Integration
Wage,Recurrent Budget Estimates,"366,172",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 09 Tourism,814,"Programmme 03  Tourism , Wildlife conservation and Museums"
Non Wage,Recurrent Budget Estimates,"2,080,303",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 09 Tourism,814,"Programmme 03  Tourism , Wildlife conservation and Museums"
AIA,Recurrent Budget Estimates,"1,378,929",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 09 Tourism,814,"Programmme 03  Tourism , Wildlife conservation and Museums"
Total,Recurrent Budget Estimates,"3,825,404",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 09 Tourism,814,"Programmme 03  Tourism , Wildlife conservation and Museums"
Wage,Recurrent Budget Estimates,"366,172",2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 09 Tourism,814,"Programmme 03  Tourism , Wildlife conservation and Museums"
Non Wage,Recurrent Budget Estimates,"1,414,998",2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 09 Tourism,814,"Programmme 03  Tourism , Wildlife conservation and Museums"
AIA,Recurrent Budget Estimates,"1,648,495",2017/18 Draft Estimates,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 09 Tourism,814,"Programmme 03  Tourism , Wildlife conservation and Museums"
Wage,Recurrent Budget Estimates,"410,000",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 10 Museums and Monuments,815,"Programmme 03  Tourism , Wildlife conservation and Museums"
Non Wage,Recurrent Budget Estimates,"304,600",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 10 Museums and Monuments,815,"Programmme 03  Tourism , Wildlife conservation and Museums"
AIA,Recurrent Budget Estimates,0,2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 10 Museums and Monuments,815,"Programmme 03  Tourism , Wildlife conservation and Museums"
Total,Recurrent Budget Estimates,"714,600",2016/17 Approved Budget,"Vote:022 Ministry of Tourism, Wildlife and Antiquities",SubProgramme 10 Museums and Monuments,815,"Programmme 03  Tourism , Wildlife conservation and Museums"
