@CLASSIFICATION,@FREQ,@GLOBAL_DSD_TIME_SERIES_CODE,@INDICATOR_CODE,@REF_AREA,@REF_SECTOR,@TIME_FORMAT,@UNIT_MEASURE,@UNIT_MULT,db_key,value_2014,value_2015,value_2016
W0_S1_G1,A,A|BT|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,BT,S1311B,P1Y,XDC,6,GFSR,37425.445829,35096.048,42923.688
W0_S1_G1,A,A|AR|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,AR,S1311B,P1Y,XDC,6,GFSR,596180.4,739300.87,932007.5
W0_S1_G1,A,A|NG|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,NG,S1311B,P1Y,XDC,9,GFSR,,,
W0_S1_G1,A,A|BE|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,BE,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|BZ|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,BZ,S1311B,P1Y,XDC,6,GFSR,945.902,,
W0_S1_G1,A,,,GN,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|PY|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,PY,S1311B,P1Y,XDC,9,GFSR,24146.542455253,26564.918131436,27611.268376554
W0_S1_G1,A,A|KW|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,KW,S1311B,P1Y,XDC,6,GFSR,24526,13236,
W0_S1_G1,A,A|ST|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,ST,S1311B,P1Y,XDC,9,GFSR,,,
W0_S1_G1,A,A|RO|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,RO,S1311B,P1Y,XDC,6,GFSR,,,139963.92
W0_S1_G1,A,A|AM|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,AM,S1311B,P1Y,XDC,9,GFSR,1144.762732606,1167.745274327,1171.107161751
W0_S1_G1,A,A|HN|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,HN,S1311B,P1Y,XDC,6,GFSR,76768.2679447871,88225.606124575,
W0_S1_G1,A,,,SD,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|SV|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,SV,S1311B,P1Y,XDC,6,GFSR,3957.56120916,4095.51693513,4385.61013711
W0_S1_G1,A,A|GT|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,GT,S1311B,P1Y,XDC,6,GFSR,52091.47652494,52871.37487456,57502.32365928
W0_S1_G1,A,A|KN|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,KN,S1311B,P1Y,XDC,6,GFSR,551.195952,,
W0_S1_G1,A,A|JM|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,JM,S1311B,P1Y,XDC,9,GFSR,411.715937773794,455.835781822221,499.879882042539
W0_S1_G1,A,A|MM|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,MM,S1311B,P1Y,XDC,6,GFSR,8147552.986,8242247.407,8946386.082
W0_S1_G1,A,A|BG|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,BG,S1311B,P1Y,XDC,6,GFSR,,,
W0_S1_G1,A,A|TR|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,TR,S1311B,P1Y,XDC,9,GFSR,431.197022875249,491.73495078095,563.563705444511
W0_S1_G1,A,A|ZA|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,ZA,S1311B,P1Y,XDC,9,GFSR,1017.65131764715,1115.42887814597,1174.0433453578
W0_S1_G1,A,A|QA|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,QA,S1311B,P1Y,XDC,6,GFSR,,,
