@CLASSIFICATION,@FREQ,@GLOBAL_DSD_TIME_SERIES_CODE,@INDICATOR_CODE,@REF_AREA,@REF_SECTOR,@TIME_FORMAT,@UNIT_MEASURE,@UNIT_MULT,db_key,value_1990,value_1991,value_1992,value_1993,value_1994,value_1995,value_1996,value_1997,value_1998,value_1999,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017
W0_S1_G1,A,A|BF|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,BF,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,,,,,348.354155936,435.2526283879,468.1661167837,498.211486294,567.599623932,656.835509063,630.744772046,771.519725145,880.219,1047.29,1276.31,1441.63,1321.13871436006,1277.6863117038,1410.5,
W0_S1_G1,A,A|DM|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,DM,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,239.7,228.2,206.9,237.6,298.5,263.2,332.8,369.5,415.9,411.8,390.756927,389.02722,360.515698,383.397607,414.946354,,,
W0_S1_G1,A,A|EG|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,EG,S1311B,P1Y,XDC,9,GFSR,18.403,29.628,40.775,46.953,52.213,54.981,59.662,62.146,65.578,68.856,74.277,74.347,78.32,89.145,101.88,110.8646,151.2664,180.2146,221.40444,282.5046,268.1144,265.2865,303.622,350.322,456.778,465.241,,
W0_S1_G1,A,A|MY|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,MY,S1311B,P1Y,XDC,6,GFSR,,,,,,,59058,66060,56823,59088.1,62291,79915.403,83514,92608,99398,106303,123546.061,139885.33560042,159793.38294119,158639.3042277,159652.85919754,185419,207912,213370.2,220625.45,219089,212421,
W0_S1_G1,A,A|CD|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,CD,S1311B,P1Y,XDC,9,GFSR,0.000223114,0.00229466666666667,0.056,1.10433133333333,0.208382,2.12,15.688,40.364,0.604345,2.596,17.419403,148.551292,297.200978,445.22539,536.321997,1139.22521,1216.224246,1523.756104,2118.576416,3134.561637,4034.95,,,,,,,
W0_S1_G1,A,A|BW|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,BW,S1311B,P1Y,XDC,6,GFSR,3699.53,4027.5,4566.3,5271.7,4406.7,5402.2,7311.1,,,,,,,,,,27364.78,28534.6,30348.17,29919.5,31838.62,38379.87,41591.23694318,48882.0960925167,55843.03,48553.25,57330.86,
W0_S1_G1,A,A|SL|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,SL,S1311B,P1Y,XDC,9,GFSR,5.8053,20.424,40.491,61.596,78.531,67.477,78.242,94.993,99.655,151.209135799418,258.28107497811,294.4956599394,400.02343570316,467.00012513972,616.34251227443,763.332,841.989,776.178,926.12738388457,1250.45,1551.58,2170.76,2506.07,2827.61,3185.68,,,
W0_S1_G1,A,A|LV|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,LV,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G1,A,A|CR|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,CR,S1311B,P1Y,XDC,9,GFSR,68.96,93.83,139.39,166.88,193.82,260.17,311.52,376.16,458.68,540.49,603.7,719.9,808.98,981.6,1111.9313,1326.9449,1645.47670201696,2106.44430512096,2489.58596934243,2362.55290642241,2741.79395476529,3024.13388978818,3274.21649413227,3536.2,3799.19923068649,4180.89591330069,4568.01680261765,
W0_S1_G1,A,A|BO|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,BO,S1311B,P1Y,XDC,6,GFSR,1877.5,2638.2,3203.7,4491,4458.8,4921.9,6160.4,6671.3,7462.6,8004.6,8312.9,8518.46,10544.50279732,11401.31851249,14263.8,16861.334227,31776.03637428,22349.1858253042,,,,,,,,,,
W0_S1_G1,A,A|IL|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,IL,S1311B,P1Y,XDC,6,GFSR,45463,43199,68068,76686,90442,103227,123195,137072,150120,161249,183613.128428139,184365.818901172,189364.878402999,182303.627479357,185611.937965508,197082.165425552,218766.725035193,228011.862989442,221339.339354625,212058.793469542,233721.54514636,251992.581004622,261106.168285351,283555.352215157,300430.293816958,318085.784862433,332141.485672584,
W0_S1_G1,A,A|CL|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,CL,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,,,8605.66,,,,,,,,,,,,,,,,,
W0_S1_G1,A,A|AF|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,AF,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,,,26611.6803599,43385.84416306,55170.0465004319,68615.17925692,87596.33831509,95561.10051575,131556.89439482,164463.11309872,190816.14468715,228522.269427547,302720,278719.4690052,300382.25135637,,
W0_S1_G1,A,A|ET|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,ET,S1311B,P1Y,XDC,6,GFSR,3158.1,2774,2306.3,3416.2,4636.5,6455.8,7599.7,8972.3,9161.6,9707.3,,10951.7,9874.103522,11622.4,16086.6,17072.8,13646.5,16878.50008,36789.90004,47749,60382.101,77455.444,,,,,,
W0_S1_G1,A,A|BS|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,BS,S1311B,P1Y,XDC,6,GFSR,498.3,490.7,534.5,531.5,609.3,660.3,685.7,728.16,760.135,868.758,937.161,919.5,887.624,901.1,944.463,1104.767,1280.479,1336.118,1428.708,1316.472,1291.208,1432.154,1426.119,1352.878,1449.389,1697.671,1927.86799,
W0_S1_G1,A,A|CF|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,CF,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,,,,69576.7424577154,,,,125740.882483043,138080.7551256,159856.42508305,125400.43508912,201430,,,,,
W0_S1_G1,A,A|HR|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,HR,S1311B,P1Y,XDC,6,GFSR,,63.77,547.05,8371.19,22788.88,27387.12,30244.34,33384.98,42019.4,40045.77,41535,48150,69651.1,74677.4,80463.5,85653,95236,108321,115773,110257.9,107466.3511,107069.6699,109558.9279,108585,114044.485,,,
W0_S1_G1,A,A|TN|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,TN,S1311B,P1Y,XDC,6,GFSR,2895.8,3042.2,3523.1,3896.4,4149.3,4256.4,4599.8,4956.2,5491.3,5909.3,6368.1,6922.9,7342.4,7611.4,8380.2,8907.5,9758.6,10818.7,13266.2,13473.608,14401.25,16050.8,16939.6,,,,,
W0_S1_G1,A,A|JP|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,JP,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G1,A,A|VU|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,VU,S1311B,P1Y,XDC,6,GFSR,4845.3,,,,,6158,6352,6205,6675,6721,,,,,,,,,,16900,16715.1,17447.1,15788.7127,16246.974548,18825.8763,26424.259,26896.871,
W0_S1_G1,A,A|RS|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,RS,S1311B,P1Y,XDC,9,GFSR,,,,,,,,,,,,,,,,,,574.4908,653.02914645675,654.6099,710.386906,743.0138008,781.192,,,,,
W0_S1_G1,A,A|DE|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,DE,S1311B,P1Y,XDC,9,GFSR,153.137031337079,200.539,222.376,222.733,237.297,,,,,,,,,,,,,,,,,,,,,,,
W0_S1_G1,A,A|BB|S1311B|W0|S1|G1|_Z|_Z|_Z|XDC|_T|_X,GR_G14_XDC,BB,S1311B,P1Y,XDC,6,GFSR,,,,,,,,,,,,,,1827.48,1980.8,2138.24831394,2223.52686774,2533.41333981,2622.480476,2531.784678,2410.403741,2598.261886,2426.990739,2313.510354,2397.318623,2537.258828,,
