"iso2","indicators"
"SI","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"SK","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"SV","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"TO","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"TR","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"TV","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"US","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"VE","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"WS","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
"ZA","'female','fifteento49','fiveto14','gt49','higher','male','no.birth.reg','no.educ','no.skilled.attendant','primary','rural','secondary','stunted','under5','urban'"
